id,domain,severity,state,title,v5_status,v5_evidence,impact,required_action,tools_methods,acceptance_predicate,v5_remaining_acceptance
RAG-009,Retrieval & Evidence,P1,VERIFIED_DEFECT,Risk classifier є regex heuristic,MITIGATED_LOCAL,apps/api/src/korpus/application/risk_rules.py | apps/api/tests/test_risk_rules.py::test_an_unrecognised_query_is_unclassified_not_standard | apps/api/tests/test_risk_rules.py::test_a_rephrased_operational_question_is_still_operational | apps/api/tests/test_risk_rules.py::test_unclassified_costs_more_than_standard,Перефразування обходить stricter thresholds; false positives блокують корисні запити.,Train/evaluate transparent risk classifier або rule DSL з broad test corpus; fail-closed unknown.,Property/adversarial tests; confusion matrix,Per-class precision/recall + worst-group metrics на blind set.,Per-class precision/recall + worst-group metrics на blind set.
RAG-010,Retrieval & Evidence,P1,VERIFIED_DEFECT,Prompt/control injection detector має лише пʼять regex patterns,MITIGATED_LOCAL,apps/api/src/korpus/application/evidence.py | apps/api/tests/test_v5_security_kernel.py::test_injection_detector_handles_zero_width_homoglyphs_and_role_markers,Poisoned text може бути процитований/оброблений як evidence.,Treat corpus as data structurally; instruction isolation; detector ensemble; poisoning metadata.,MITRE ATLAS cases; Unicode fuzzing; document taint labels,Adversarial corpus suite із direct/indirect/obfuscated injection має defined outcomes.,Adversarial corpus suite із direct/indirect/obfuscated injection має defined outcomes.
RAG-011,Retrieval & Evidence,P1,VERIFIED_DEFECT,Sentence segmentation непридатна для складних нормативних документів,MITIGATED_LOCAL,apps/api/src/korpus/application/evidence.py | apps/api/tests/test_v5_security_kernel.py::test_sentence_segmenter_preserves_offsets_for_decimals_abbreviations_and_lists,Citation offsets і atomic claims можуть бути семантично неправильні.,"Structure-aware parser: headings, clauses, bullets, tables, references; immutable offsets.",PDF layout parser; Ukrainian sentence tokenizer,Gold structural extraction benchmark PASS per document class.,Gold structural extraction benchmark PASS per document class.
RAG-012,Retrieval & Evidence,P1,VERIFIED_DEFECT,Lexical retrieval не має української морфології та domain analysis,MITIGATED_LOCAL,apps/api/src/korpus/application/retrieval.py | apps/api/tests/test_v5_security_kernel.py::test_ukrainian_morphology_and_temporal_relevance_are_explicit,"Recall падає через відмінки, військові скорочення, варіанти написання.","Ukrainian analyzer, controlled vocabulary, acronym expansion, query rewriting with audit.",Stanza/UDPipe; domain thesaurus; BEIR-style evaluation,"Recall@20 та nDCG measured by query family, including morphology/acronyms.","Recall@20 та nDCG measured by query family, including morphology/acronyms."
RAG-013,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,"Немає тестів таблиць, чисел, одиниць і формул",MITIGATED_LOCAL,apps/api/src/korpus/application/numeric_integrity.py | apps/api/src/korpus/application/table_integrity.py | apps/api/tests/test_numeric_integrity.py | apps/api/tests/test_table_integrity.py,"Небезпечні помилки в дозах, строках, координатах, кількостях.","Table extraction, unit normalization, numeric entailment, exact-cell citation.",Camelot/Docling/layout tools; unit tests,Numeric/table benchmark має zero critical unit/sign errors.,Numeric/table benchmark має zero critical unit/sign errors.
RAG-014,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Scale evidence не репрезентує production,EXTERNAL_DEBT,,"Невідомі p95/p99, saturation, recall і cost на реальному corpus/Postgres.","Benchmark real corpus, concurrent mixed workload, cold/warm cache, failure cases.",k6/Locust; pg_stat_statements; OpenTelemetry,"SLO envelope with p50/p95/p99, throughput, recall, resource/cost curves.","SLO envelope with p50/p95/p99, throughput, recall, resource/cost curves."
RAG-015,Retrieval & Evidence,P1,CONDITIONAL_RISK,Embedding integration може створити data egress,MITIGATED_LOCAL,apps/api/src/korpus/security/corpus_governance.py | apps/api/src/korpus/infrastructure/semantic.py | apps/api/tests/test_corpus_governance.py,Restricted content залишає trust boundary.,"Per-class provider policy, local models for restricted tiers, egress proxy/DLP, contracts/retention.",DLP; egress gateway; local embedding service,Restricted test corpus ніколи не викликає external endpoint; network evidence confirms.,Restricted test corpus ніколи не викликає external endpoint; network evidence confirms.
RAG-016,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Немає доказу synchronization/model migration embeddings,MITIGATED_LOCAL,apps/api/src/korpus/application/embedding_migration.py | apps/api/tests/test_embedding_migration.py::test_the_switch_requires_complete_coverage | apps/api/tests/test_embedding_migration.py::test_retiring_before_the_switch_is_refused | apps/api/tests/test_embedding_migration.py::test_rollback_is_checked_before_it_is_needed,Semantic retrieval використовує неповний або змішаний index.,"Embedding job ledger, text_hash/model version reconciliation, blue-green index migration.",Queue; pgvector inventory; consistency checker,100% approved spans have correct model/text hash before semantic weight activation.,100% approved spans have correct model/text hash before semantic weight activation.
RAG-017,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Немає drift/online quality monitoring,MITIGATED_LOCAL,apps/api/src/korpus/application/embedding_coverage.py | apps/api/tests/test_embedding_coverage.py,Якість деградує непомітно після corpus/model/query changes.,"Shadow evaluation, sampled human review, drift metrics, rollback triggers.",Evidently/custom metrics; review queue,Defined drift thresholds cause automatic freeze/rollback.,Defined drift thresholds cause automatic freeze/rollback.
RAG-018,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Немає захисту від corpus/RAG poisoning як процесу,MITIGATED_LOCAL,apps/api/src/korpus/security/source_authenticity.py | apps/api/src/korpus/security/reviewers.py | apps/api/src/korpus/application/fingerprints.py,Авторитетно оформлений шкідливий документ впливає на відповіді.,"Source provenance, anomaly detection, multi-review, canary corpus release, rollback.",MITRE ATLAS; content diff; signed releases,Poisoned-source exercise detected before general release.,Poisoned-source exercise detected before general release.
RAG-020,Retrieval & Evidence,P2,VERIFIED_DEFECT,Малі мінімальні вибірки не гарантують domain coverage,MITIGATED_LOCAL,apps/api/src/korpus/application/calibration.py | evals/EVALUATION_PROTOCOL.md,Aggregate metric маскує провал рідкісних критичних сценаріїв.,Stratified sample-size plan per domain/risk; bootstrap confidence intervals; preregistered gates.,Power analysis; bootstrap,Each critical stratum meets minimum N and upper error bound.,Each critical stratum meets minimum N and upper error bound.
INF-001,Infrastructure,P0,UNVERIFIED_BLOCKER,Docker/Compose runtime не був фактично виконаний у середовищі аудиту,EXTERNAL_DEBT,,Compose може не піднятися або інтеграції можуть бути невірно wired.,"Запустити clean host deployment, smoke/E2E, restart/upgrade/downgrade, network tests.",Docker/Podman; Testcontainers; GitLab runner,Full stack starts from zero and passes E2E under non-root roles.,Full stack starts from zero and passes E2E under non-root roles.
INF-002,Infrastructure,P0,VERIFIED_DEFECT,"docker-compose.yml є local topology, не production deployment",MITIGATED_LOCAL,deploy/kubernetes | scripts/validate_kubernetes.py,Неприпустимо використовувати manifest як production.,Створити окремі staging/prod IaC modules; видалити implicit promotion local compose.,Terraform/Pulumi; Helm/Kubernetes або hardened VMs,Production config passes policy-as-code and has no dev settings/plain HTTP.,Production config passes policy-as-code and has no dev settings/plain HTTP.
INF-003,Infrastructure,P0,UNVERIFIED_BLOCKER,Немає production TLS ingress і service identity,EXTERNAL_DEBT,,MITM/credential exposure при неправильній мережевій межі.,"TLS 1.2/1.3 ingress, mTLS/service mesh або equivalent, certificate rotation.",cert-manager/Envoy/Nginx; TLS scanners,All external and sensitive internal paths cryptographically authenticated.,All external and sensitive internal paths cryptographically authenticated.
INF-004,Infrastructure,P0,UNVERIFIED_BLOCKER,Немає HA/failover/PITR topology,EXTERNAL_DEBT,,Single point of failure та втрата даних.,"Define availability class; HA Postgres, object replication, redundant API, PITR.",Patroni/managed Postgres; object replication; chaos test,Failover drill meets defined RTO/RPO with no authorization bypass.,Failover drill meets defined RTO/RPO with no authorization bypass.
INF-005,Infrastructure,P0,UNVERIFIED_BLOCKER,Backup/restore не доведено на live production-like PostgreSQL,EXTERNAL_DEBT,,Backup може бути невідновним у реальному середовищі.,"Quarterly live restore to isolated environment, data validation, RLS/auth tests, timed RTO/RPO.",pg_dump/pg_restore or physical backup; restore automation,Independent restore evidence with measured RTO/RPO and checksum reconciliation.,Independent restore evidence with measured RTO/RPO and checksum reconciliation.
INF-006,Infrastructure,P0,UNVERIFIED_BLOCKER,Немає production secret manager/KMS/HSM і rotation evidence,EXTERNAL_DEBT,,Компрометація host/app відкриває keys і audit forgery/decryption.,"Vault/KMS/HSM, workload identity, envelope encryption, rotation/revocation drills.",HashiCorp Vault/cloud KMS/HSM,No long-lived static secrets in images/files; rotation without downtime tested.,No long-lived static secrets in images/files; rotation without downtime tested.
INF-007,Infrastructure,P1,VERIFIED_DEFECT,API має загальний egress без destination allowlist,MITIGATED_LOCAL,deploy/kubernetes/base/networkpolicies.yaml | docker-compose.yml,SSRF або compromised process exfiltrates corpus/secrets.,Default-deny egress gateway; allowlist OIDC/S3/anchor/embedding; DNS/TLS pinning where appropriate.,NetworkPolicy/eBPF/proxy; SSRF tests,Unexpected destinations unreachable; egress logs attributable.,Unexpected destinations unreachable; egress logs attributable.
INF-008,Infrastructure,P1,UNVERIFIED_BLOCKER,Resource limits не калібровані capacity plan,EXTERNAL_DEBT,,OOM/throttling або зайве резервування.,Load/capacity model by workload; autoscaling/admission budgets; saturation alerts.,k6/Locust; cAdvisor; pg metrics,Limits derived from measured envelope and documented headroom.,Limits derived from measured envelope and documented headroom.
INF-009,Infrastructure,P1,VERIFIED_DEFECT,"OTel collector healthcheck перевіряє config, не serving path",MITIGATED_LOCAL,apps/api/src/korpus/infrastructure/observability.py | apps/api/tests/test_telemetry_status.py,Telemetry silently unavailable while container healthy.,Use health_check extension endpoint + synthetic trace/metric canary.,OpenTelemetry Collector healthcheck; synthetic probe,Dropped exporter/receiver causes readiness/alert according to policy.,Dropped exporter/receiver causes readiness/alert according to policy.
INF-010,Infrastructure,P1,VERIFIED_DEFECT,Local audit anchor не є незалежним trust domain,MITIGATED_LOCAL,apps/api/src/korpus/infrastructure/audit_anchor.py | apps/api/tests/test_http_audit_anchor.py,Host compromise може змінити ledger і anchor.,Remote append-only witness in separate account/org; asymmetric signatures/trusted timestamp.,Transparency log/Rekor-like service; HSM signing,Single host/admin compromise cannot rewrite accepted history.,Single host/admin compromise cannot rewrite accepted history.
INF-011,Infrastructure,P1,UNVERIFIED_BLOCKER,Немає deployment rollback/canary/schema compatibility proof,EXTERNAL_DEBT,,Нова версія може зробити DB/clients незворотно несумісними.,"Expand-contract migrations, canary, automated rollback, compatibility tests.",Argo Rollouts/GitLab environments; contract tests,N-1/N compatibility and rollback drill PASS.,N-1/N compatibility and rollback drill PASS.
INF-012,Infrastructure,P1,UNVERIFIED_BLOCKER,Немає offsite/immutable backup schedule and retention execution,EXTERNAL_DEBT,,Ransomware/operator error знищує primary і backup.,"3-2-1 backups, object lock, isolated credentials, restore cadence.",Backup scheduler; WORM storage,Backup age/immutability monitored; restore sampled automatically.,Backup age/immutability monitored; restore sampled automatically.
SRE-001,Reliability & Operations,P0,UNVERIFIED_BLOCKER,Немає SLO/SLI/error-budget contract,EXTERNAL_DEBT,,Неможливо обʼєктивно вирішити launch або regression.,"Define user journeys, SLIs, SLOs, error budget, alert policy.",Google SRE methods; Prometheus/OpenTelemetry,Approved SLO document and burn-rate alerts validated.,Approved SLO document and burn-rate alerts validated.
SRE-002,Reliability & Operations,P0,UNVERIFIED_BLOCKER,Немає on-call ownership та incident exercises,EXTERNAL_DEBT,,Інцидент не буде вчасно виявлений/локалізований.,"On-call model, severity matrix, paging, tabletop + technical game days.",PagerDuty/Opsgenie equivalent; incident tooling,Timed exercises meet detection/containment/recovery targets.,Timed exercises meet detection/containment/recovery targets.
SRE-003,Reliability & Operations,P1,VERIFIED_DEFECT,Observability не має durable backend,MITIGATED_LOCAL,apps/api/src/korpus/infrastructure/observability.py | infra/otel-collector.yaml,"Немає історичного аналізу, alerting і forensic evidence.","Deploy metrics/traces/logs backend, RED/USE dashboards, retention and access controls.",Prometheus/Grafana/Loki/Tempo або managed stack,Synthetic failures visible end-to-end and page correct owner.,Synthetic failures visible end-to-end and page correct owner.
SRE-004,Reliability & Operations,P1,UNVERIFIED_BLOCKER,Немає chaos/failure-injection matrix,EXTERNAL_DEBT,,Невідомі cascading failures і ambiguous transaction outcomes.,"Fault injection per dependency, partial failures, latency, stale cache, clock skew.",Toxiproxy/Chaos Mesh; pytest integration,Every dependency has defined degraded/fail-closed behavior and recovery evidence.,Every dependency has defined degraded/fail-closed behavior and recovery evidence.
SRE-005,Reliability & Operations,P1,UNVERIFIED_BLOCKER,Немає production load/concurrency endurance test,EXTERNAL_DEBT,,"Race, leaks, queue collapse, p99 spikes зʼявляться лише в експлуатації.",Mixed workload load/soak/spike tests; saturation and backpressure validation.,k6/Locust; pgbench; profiling,Meet SLO under target and overload sheds load without leakage/corruption.,Meet SLO under target and overload sheds load without leakage/corruption.
SRE-006,Reliability & Operations,P1,CONDITIONAL_RISK,Readiness має невизначену degraded-mode policy,MITIGATED_LOCAL,apps/api/src/korpus/main.py | docs/operations/SLO_AND_RELEASE_POLICY_V5.md,Зайва недоступність або небезпечний silent fallback.,Define dependency matrix: required/optional per environment/query risk; expose degraded state.,State machine; chaos tests,Each outage returns predeclared status; no silent semantic/policy downgrade.,Each outage returns predeclared status; no silent semantic/policy downgrade.
SRE-007,Reliability & Operations,P1,UNVERIFIED_BLOCKER,Немає data/corpus release rollback drill,EXTERNAL_DEBT,,Poisoned або хибний corpus release впливає на всіх.,"Immutable corpus releases, canary cohort, shadow eval, atomic rollback.",Release registry; feature flags,Rollback restores prior answers/index within defined RTO.,Rollback restores prior answers/index within defined RTO.
SUP-003,Supply Chain,P0,UNVERIFIED_BLOCKER,Немає signed build provenance і artifact signing,EXTERNAL_DEBT,,"Неможливо довести, хто/як побудував production image.","Generate SLSA provenance, sign images/SBOM, verify before deploy.",GitLab OIDC + cosign/in-toto; SLSA verifier,Deployment admission rejects unsigned/unexpected provenance.,Deployment admission rejects unsigned/unexpected provenance.
SUP-005,Supply Chain,P1,UNVERIFIED_BLOCKER,Security scanners не були виконані в локальному аудиті,EXTERNAL_DEBT,,Current dependencies/config may contain known issues.,Run pipeline in isolated runner; archive signed reports; fix all policy violations.,GitLab CI; Trivy; pip-audit; Gitleaks; Ruff; mypy,"Signed pipeline evidence, zero unaccepted high/critical findings.","Signed pipeline evidence, zero unaccepted high/critical findings."
SUP-006,Supply Chain,P1,VERIFIED_DEFECT,Static security analysis coverage incomplete,MITIGATED_LOCAL,.gitlab-ci.yml | scripts/run_mutation_tests.py | scripts/validate_infrastructure.py,Logic/security flaws не представлені dependency/config scans.,"SAST rules, API DAST, fuzzing, IaC policies, secret history scan.",Semgrep/Bandit; Schemathesis/ZAP; Atheris,Security test matrix maps every threat class to executable gate.,Security test matrix maps every threat class to executable gate.
SUP-007,Supply Chain,P1,UNVERIFIED_BLOCKER,GitLab branch/tag controls не доведені repository files,EXTERNAL_DEBT,,Unilateral bypass або malicious runner може publish release.,Export GitLab settings evidence; 2-person review; protected tags; isolated runners.,GitLab API/audit events; SLSA Source track,No single contributor can alter protected release without independent approval.,No single contributor can alter protected release without independent approval.
SUP-008,Supply Chain,P1,UNVERIFIED_BLOCKER,Немає continuous re-scan/patch SLA та KEV policy,EXTERNAL_DEBT,,Нові CVE залишаються непоміченими.,"Scheduled rescans, SBOM inventory, KEV SLA, emergency rebuild/revoke.",Dependency Track/Grype/Trivy; CISA KEV feed,High/critical/KEV triage and remediation SLA measured.,High/critical/KEV triage and remediation SLA measured.
SUP-009,Supply Chain,P2,UNVERIFIED_BLOCKER,Немає license/compliance inventory,MITIGATED_LOCAL,scripts/generate_supply_chain_inventory.py | apps/api/tests/test_gate_parity.py::test_scripts_reading_installed_metadata_run_under_the_locked_interpreter,Юридичний ризик distribution/deployment.,"License scan, approved license policy, notices.",Syft/ScanCode/FOSSA equivalent,Release має complete license report і zero forbidden components.,Release має complete license report і zero forbidden components.
COD-001,Code Architecture,P1,VERIFIED_DEFECT,SqlRepository є infrastructure god object,MITIGATED_LOCAL,apps/api/src/korpus/infrastructure/schema.py | apps/api/src/korpus/infrastructure/retrieval_queries.py | apps/api/src/korpus/infrastructure/row_mapping.py | apps/api/src/korpus/infrastructure/audit_reader.py | apps/api/tests/test_repository_seams.py::test_the_query_builders_never_open_a_connection | apps/api/tests/test_repository_seams.py::test_the_projection_carries_every_access_predicate_it_is_supposed_to | apps/api/tests/test_repository_access_refusals.py::test_listing_hides_a_document_above_the_readers_clearance | config/operations/module-budget.json,Зростає change coupling і шанс неповного security fix.,"Розділити repositories/UoW: documents, versions, search, audit, health; transactional boundaries explicit.",Architecture tests; dependency-cruiser equivalent,Кожен модуль має одну responsibility; security invariants tested across UoW.,Кожен модуль має одну responsibility; security invariants tested across UoW.
COD-004,Code Architecture,P1,VERIFIED_DEFECT,Branch coverage значно нижча за statement coverage,MITIGATED_LOCAL,scripts/check_coverage_thresholds.py | apps/api/tests/test_gate_parity.py::test_the_coverage_thresholds_are_checked_where_coverage_is_produced,Happy-path statements маскують неперевірені decision branches.,Per-module branch thresholds for security-critical code; MC/DC-inspired cases.,coverage.py branch; diff coverage,Auth/policy/ingestion/audit branches ≥90% or justified exclusions.,Auth/policy/ingestion/audit branches ≥90% or justified exclusions.
COD-005,Code Architecture,P1,VERIFIED_DEFECT,Mutation score 100% стосується лише 14 hand-selected mutants,MITIGATED_LOCAL,scripts/run_mutation_tests.py | var/mutation-report.json,Неперевірені предикати можуть бути слабкими попри 100%.,Run broad mutation engine by module; track equivalent mutants; risk-based mutation budget.,mutmut/cosmic-ray/custom operators,"Mutation score reported over declared operator space, survivors triaged.","Mutation score reported over declared operator space, survivors triaged."
COD-006,Code Architecture,P1,UNVERIFIED_BLOCKER,Немає parser/API fuzzing,MITIGATED_LOCAL,apps/api/tests/test_structured_evidence_and_fuzz.py | apps/api/tests/test_v5_security_kernel.py::test_parser_sandbox_setting_selects_isolated_parser,Crash/DoS/input edge cases невідомі.,"Coverage-guided fuzzing, property tests, regression corpus.",Atheris/Hypothesis; Schemathesis; OSS-Fuzz style,No crash/hang/leak in defined CPU-hour budget; all findings regression-tested.,No crash/hang/leak in defined CPU-hour budget; all findings regression-tested.
COD-007,Code Architecture,P2,VERIFIED_DEFECT,mypy і Ruff policies слабкі для critical system,MITIGATED_LOCAL,apps/api/pyproject.toml | .gitlab-ci.yml::api:quality,Integration types/security smells проходять непомічено.,"Strict typing by module, stubs/protocols, broader Ruff/security rules.",mypy strict/pyright; Ruff S/C90/BLE/ASYNC,Zero unexplained Any at trust boundaries; complexity budgets enforced.,Zero unexplained Any at trust boundaries; complexity budgets enforced.
COD-008,Code Architecture,P2,VERIFIED_DEFECT,Web lint/typecheck є лише asset-existence validator,MITIGATED_LOCAL,apps/web/scripts/validate.mjs | apps/web/package.json | apps/api/tests/test_browser_oidc.py,UI auth/security regressions не ловляться.,"TypeScript, ESLint, DOM/unit/E2E tests, CSP tests.",TypeScript/ESLint/Vitest/Playwright,OIDC/error/accessibility flows covered; real typecheck compiles.,OIDC/error/accessibility flows covered; real typecheck compiles.
