id,domain,severity,state,title,evidence,impact,required_action,tools_methods,acceptance_predicate
ING-002,Ingestion & Parsers,P0,VERIFIED_DEFECT,OCR/парсинг синхронні в API request,"Ingestion виконує PdfReader, pdftoppm і tesseract у threadpool до відповіді; немає durable job state.","Timeout, втрата роботи при restart, starvation API workers.","Durable queue/workflow, idempotency key, resumable states, cancellation, retry/dead-letter.",Temporal/Celery/Arq; Postgres job ledger,Crash/restart test завершує або безпечно повторює job без дублювання.
ING-003,Ingestion & Parsers,P0,VERIFIED_DEFECT,Немає malware scan/CDR до parser execution,"У pipeline немає AV, YARA, CDR або quarantine decision перед pypdf/poppler/tesseract.",Шкідливий документ атакує parser/toolchain.,"Quarantine service: magic sniffing, AV/YARA, CDR, parser sandbox; лише clean artifact далі.",ClamAV/YARA; CDR; sandboxed worker,EICAR/malformed/polyglot fixtures блокуються до extraction.
ING-004,Ingestion & Parsers,P0,VERIFIED_DEFECT,Untrusted PDF парситься в API trust domain,pypdf працює in-process; poppler/tesseract запускаються у тому ж container namespace.,Parser RCE/DoS отримує доступ до API secrets/DB/network.,"Винести extraction у disposable no-network sandbox з seccomp/AppArmor, read-only FS, uid, cgroup quotas.",gVisor/Firecracker/Kubernetes sandbox; seccomp,Compromise simulation не бачить DB/IdP/S3 credentials і не має egress.
ING-005,Ingestion & Parsers,P0,VERIFIED_DEFECT,Aggregate OCR budget фактично не обмежений,300 s timeout застосовується pdftoppm і окремо кожному tesseract page; до 500 pages.,Один документ може зайняти години CPU та блокувати ingestion slots.,Global wall-clock/CPU/pixel budget; per-page deadline; max rendered pixels; early abort.,cgroups; process supervisor; timeout budget tests,Worst-case file завершується в заданий budget і очищає temp artifacts.
ING-006,Ingestion & Parsers,P1,VERIFIED_DEFECT,File-type validation обмежена extension/MIME/PDF magic,Для txt/json/html немає libmagic/content sniffing; PDF перевіряє лише %PDF-.,Polyglot/mislabeled content проходить до parser.,libmagic + parser-specific structural validation; reject ambiguity.,python-magic/libmagic; corpus of polyglots,Mismatch/polyglot suite fail-closed.
ING-007,Ingestion & Parsers,P1,VERIFIED_DEFECT,Regex-based HTML stripping не є безпечним parser,_strip_html використовує regex і втрачає структуру/може некоректно обробляти malformed HTML.,"Прихований/злитий текст, помилкові цитати, resource abuse.","Парсер HTML allowlist, DOM text extraction, limits на depth/nodes.",lxml/html5lib sandbox; fuzzing,Malformed HTML corpus не змінює смислові межі непередбачувано.
ING-008,Ingestion & Parsers,P1,VERIFIED_DEFECT,Object store write не атомарний із metadata transaction,object_store.put виконується до create_*_bundle; rollback БД залишає orphan object.,Накопичення неврахованих даних і retention/privacy drift.,Staging key + transactional outbox/commit marker + orphan reconciler/GC.,Saga/outbox; inventory reconciliation,Injected DB failure не лишає доступного orphan або GC видаляє його за SLA.
ING-009,Ingestion & Parsers,P1,VERIFIED_DEFECT,Немає OCR/layout quality model,"Зберігається текст і page, але немає confidence, bounding boxes, table/list structure, reading order quality.",Цитата може бути формально привʼязана до хибного OCR.,"Layout-aware extraction, OCR confidence, low-confidence quarantine, visual review UI.",Document AI/layoutparser; OCR benchmarks,CER/WER/table extraction виміряні по stratified corpus; low confidence не auto-approve.
ING-010,Ingestion & Parsers,P1,VERIFIED_DEFECT,Автентичність джерела не перевіряється,"source_uri/issuer — metadata; немає digital signature, official registry reconciliation, TLS capture або trusted timestamp.","Hash доводить лише отримані байти, не офіційність документа.","Source connectors з domain allowlist, signature verification, publication ID reconciliation.",PKI/PAdES; registry API; timestamp service,Authority status виникає лише після криптографічної/реєстрової перевірки або human attestation.
ING-011,Ingestion & Parsers,P1,VERIFIED_DEFECT,Deduplication лише exact SHA-256,OCR/reformat/scan copies одного документа мають різні hashes.,"Конфліктні дублікати, перекіс retrieval, зайва review-робота.",Near-duplicate detection: simhash/minhash/layout/OCR fingerprint; canonical merge workflow.,datasketch; perceptual hash,Known duplicate families обʼєднуються з precision/recall gate.
ING-012,Ingestion & Parsers,P1,UNVERIFIED_BLOCKER,Немає corpus-scale ingestion recovery drill,"Немає доказу повторного імпорту тисяч файлів, resume, checkpoints, quarantine backlog і throughput.",Масова міграція може зависнути або дати частковий корпус.,Run full-scale replay with injected failures and deterministic reconciliation.,Workflow engine; fault injection; load generator,100% source manifest reconciled; no missing/duplicate versions.
RAG-001,Retrieval & Evidence,P0,VERIFIED_DEFECT,"Evaluation dataset є synthetic fixture, не production evidence","EVAL_REPORT: 30/30, calibration_status=UNVALIDATED_TEST_FIXTURE.",Високий pass rate не прогнозує реальну точність на українському корпусі.,Створити frozen stratified gold set із реальних документів і adversarial holdout.,Annotation platform; HELM-style scenario matrix; RAGChecker/ALCE metrics,"Blind holdout, human adjudication, versioned dataset, confidence intervals."
RAG-002,Retrieval & Evidence,P0,VERIFIED_DEFECT,Calibration profile не криптографічно звʼязаний з фактичним dataset artifact,"Profile містить dataset_sha256, але Settings.load не звіряє hash з конкретним dataset file і не перевіряє signature/approver.",Можна подати profile із вигаданими метриками/хешем.,"Signed calibration bundle: dataset, labels, code digest, metrics, profile, approvers.",in-toto/SLSA attestation; cosign; reproducible eval,Runtime перевіряє signed bundle та точний dataset/code digest перед calibrated mode.
RAG-003,Retrieval & Evidence,P0,UNVERIFIED_BLOCKER,Немає human gold standard та inter-annotator agreement,"В release немає domain experts, adjudication protocol, Cohen/Fleiss kappa або disagreement set.","Невідомо, чи ground truth взагалі стабільний і предметно правильний.","Подвійна незалежна розмітка, adjudication, reviewer qualifications, ambiguity labels.",Label Studio/Argilla; statistical analysis,IAA threshold predefined; ambiguous cases excluded/separately scored.
RAG-004,Retrieval & Evidence,P1,VERIFIED_DEFECT,"Evidence support вимірюється token overlap, не entailment","sentence_candidates/query_coverage та support score не доводять, що citation логічно підтримує claim.","Правдоподібна, але не підтверджена відповідь проходить gate.",Claim decomposition + NLI/attribution verifier + human spot checks; contradiction state.,NLI model/local verifier; ALCE; attribution benchmark,"Citation precision/completeness і entailment measured per claim, not query token overlap."
RAG-005,Retrieval & Evidence,P1,VERIFIED_DEFECT,Немає contradiction resolution між джерелами,"Pipeline ранжує фрагменти, але не виявляє взаємно суперечливі чинні норми/редакції.",Система обирає одну відповідь при невирішеному конфлікті.,"Conflict graph, issuer/jurisdiction precedence, explicit conflict abstention.",NLI contradiction; rule engine; temporal graph,Known conflict cases повертають conflict status і всі релевантні sources.
RAG-006,Retrieval & Evidence,P1,VERIFIED_DEFECT,Citation completeness метрика не відповідає claim coverage,evidence_coverage формується з query token coverage; не рахує всі factual claims.,"Відповідь може мати citation, але частина тверджень лишається без доказу.",Виділяти atomic claims і вимагати support для кожного; окремо correctness/completeness.,ALCE/RAGChecker-style metrics,100% emitted claims мають verified supporting spans або answer abstains.
RAG-007,Retrieval & Evidence,P1,VERIFIED_DEFECT,Authority priors є неперевіреними константами,"OFFICIAL_UA=1.0, allied=.92, manufacturer=.78 тощо без empirical provenance.",Скалярний prior може переважити релевантність і контекстну правову силу.,"Контекстна authority policy: document type, issuer competence, jurisdiction, date, task.",Policy rules + calibration/ablation,Ablation і domain validation доводять користь; priors versioned and approved.
RAG-008,Retrieval & Evidence,P1,VERIFIED_DEFECT,"Temporal score вимірює наявність metadata, не temporal relevance","_temporal_specificity=1.0 якщо effective_from існує, 0.6 для publication date.","Старий документ отримує такий самий temporal bonus, як актуальний.",Temporal distance/applicability features; interval algebra; supersession graph.,Bitemporal DB tests; temporal benchmark,As-of queries правильно ранжують/відсікають historical/current versions.
RAG-009,Retrieval & Evidence,P1,VERIFIED_DEFECT,Risk classifier є regex heuristic,Query risk визначається невеликим набором pattern rules.,Перефразування обходить stricter thresholds; false positives блокують корисні запити.,Train/evaluate transparent risk classifier або rule DSL з broad test corpus; fail-closed unknown.,Property/adversarial tests; confusion matrix,Per-class precision/recall + worst-group metrics на blind set.
RAG-010,Retrieval & Evidence,P1,VERIFIED_DEFECT,Prompt/control injection detector має лише пʼять regex patterns,"contains_control_injection не покриває obfuscation, Unicode, multilingual, indirect instructions.",Poisoned text може бути процитований/оброблений як evidence.,Treat corpus as data structurally; instruction isolation; detector ensemble; poisoning metadata.,MITRE ATLAS cases; Unicode fuzzing; document taint labels,Adversarial corpus suite із direct/indirect/obfuscated injection має defined outcomes.
RAG-011,Retrieval & Evidence,P1,VERIFIED_DEFECT,Sentence segmentation непридатна для складних нормативних документів,"Regex [^.!?\n]+ не зберігає списки, таблиці, abbreviations, article/subclause hierarchy.",Citation offsets і atomic claims можуть бути семантично неправильні.,"Structure-aware parser: headings, clauses, bullets, tables, references; immutable offsets.",PDF layout parser; Ukrainian sentence tokenizer,Gold structural extraction benchmark PASS per document class.
RAG-012,Retrieval & Evidence,P1,VERIFIED_DEFECT,Lexical retrieval не має української морфології та domain analysis,"Tokenizer лише casefold/regex/малий stoplist; немає lemmatization, synonyms, abbreviations.","Recall падає через відмінки, військові скорочення, варіанти написання.","Ukrainian analyzer, controlled vocabulary, acronym expansion, query rewriting with audit.",Stanza/UDPipe; domain thesaurus; BEIR-style evaluation,"Recall@20 та nDCG measured by query family, including morphology/acronyms."
RAG-013,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,"Немає тестів таблиць, чисел, одиниць і формул",Eval fixtures переважно plain text; відсутні table-cell provenance і numeric consistency.,"Небезпечні помилки в дозах, строках, координатах, кількостях.","Table extraction, unit normalization, numeric entailment, exact-cell citation.",Camelot/Docling/layout tools; unit tests,Numeric/table benchmark має zero critical unit/sign errors.
RAG-014,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Scale evidence не репрезентує production,"SCALE_REPORT: 5 000 synthetic spans, SQLite FTS5, 80 iterations, one target query, no concurrency/network.","Невідомі p95/p99, saturation, recall і cost на реальному corpus/Postgres.","Benchmark real corpus, concurrent mixed workload, cold/warm cache, failure cases.",k6/Locust; pg_stat_statements; OpenTelemetry,"SLO envelope with p50/p95/p99, throughput, recall, resource/cost curves."
RAG-015,Retrieval & Evidence,P1,CONDITIONAL_RISK,Embedding integration може створити data egress,HttpEmbeddingProvider надсилає query/span text зовнішньому endpoint; data-class policy не enforced у provider interface.,Restricted content залишає trust boundary.,"Per-class provider policy, local models for restricted tiers, egress proxy/DLP, contracts/retention.",DLP; egress gateway; local embedding service,Restricted test corpus ніколи не викликає external endpoint; network evidence confirms.
RAG-016,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Немає доказу synchronization/model migration embeddings,"Є upsert/search, але немає доведеного durable pipeline для backfill, stale vectors, dual-index migration й rollback.",Semantic retrieval використовує неповний або змішаний index.,"Embedding job ledger, text_hash/model version reconciliation, blue-green index migration.",Queue; pgvector inventory; consistency checker,100% approved spans have correct model/text hash before semantic weight activation.
RAG-017,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Немає drift/online quality monitoring,"Відсутні production labels, distribution shift, query slice dashboards, alerting on abstention/recall proxies.",Якість деградує непомітно після corpus/model/query changes.,"Shadow evaluation, sampled human review, drift metrics, rollback triggers.",Evidently/custom metrics; review queue,Defined drift thresholds cause automatic freeze/rollback.
RAG-018,Retrieval & Evidence,P1,UNVERIFIED_BLOCKER,Немає захисту від corpus/RAG poisoning як процесу,"Є окремі injection fixtures, але немає source anomaly detection, reputation/authority compromise scenario, poisoned update drill.",Авторитетно оформлений шкідливий документ впливає на відповіді.,"Source provenance, anomaly detection, multi-review, canary corpus release, rollback.",MITRE ATLAS; content diff; signed releases,Poisoned-source exercise detected before general release.
RAG-019,Retrieval & Evidence,P2,VERIFIED_DEFECT,"Score не є каліброваною ймовірністю, але UI подає його як метрику","Convex utility bounded [0,1] не має probabilistic interpretation.",Користувач може сприймати 0.8 як 80% істини.,Rename to ranking utility; show calibrated risk/coverage separately; uncertainty UX.,Calibration plots; UX research,"UI/docs clearly distinguish utility, evidence coverage, error bound."
RAG-020,Retrieval & Evidence,P2,VERIFIED_DEFECT,Малі мінімальні вибірки не гарантують domain coverage,minimum 100 ranking queries/200 accepted samples без stratification.,Aggregate metric маскує провал рідкісних критичних сценаріїв.,Stratified sample-size plan per domain/risk; bootstrap confidence intervals; preregistered gates.,Power analysis; bootstrap,Each critical stratum meets minimum N and upper error bound.
INF-001,Infrastructure,P0,UNVERIFIED_BLOCKER,Docker/Compose runtime не був фактично виконаний у середовищі аудиту,Release report explicitly marks container execution as external GitLab gate.,Compose може не піднятися або інтеграції можуть бути невірно wired.,"Запустити clean host deployment, smoke/E2E, restart/upgrade/downgrade, network tests.",Docker/Podman; Testcontainers; GitLab runner,Full stack starts from zero and passes E2E under non-root roles.
INF-002,Infrastructure,P0,VERIFIED_DEFECT,"docker-compose.yml є local topology, не production deployment","environment=local, auth=dev, HTTP MinIO/OTLP, localhost port; single instances.",Неприпустимо використовувати manifest як production.,Створити окремі staging/prod IaC modules; видалити implicit promotion local compose.,Terraform/Pulumi; Helm/Kubernetes або hardened VMs,Production config passes policy-as-code and has no dev settings/plain HTTP.
INF-003,Infrastructure,P0,UNVERIFIED_BLOCKER,Немає production TLS ingress і service identity,Nginx слухає HTTP 8080; внутрішні S3/OTLP HTTP у local compose; production ingress manifest відсутній.,MITM/credential exposure при неправильній мережевій межі.,"TLS 1.2/1.3 ingress, mTLS/service mesh або equivalent, certificate rotation.",cert-manager/Envoy/Nginx; TLS scanners,All external and sensitive internal paths cryptographically authenticated.
INF-004,Infrastructure,P0,UNVERIFIED_BLOCKER,Немає HA/failover/PITR topology,"Один PostgreSQL, MinIO, API, web; немає replica/failover/WAL archive/multi-zone proof.",Single point of failure та втрата даних.,"Define availability class; HA Postgres, object replication, redundant API, PITR.",Patroni/managed Postgres; object replication; chaos test,Failover drill meets defined RTO/RPO with no authorization bypass.
INF-005,Infrastructure,P0,UNVERIFIED_BLOCKER,Backup/restore не доведено на live production-like PostgreSQL,"Локально тестуються crypto/fake binaries; live job існує в CI, але не виконаний у цьому аудиті.",Backup може бути невідновним у реальному середовищі.,"Quarterly live restore to isolated environment, data validation, RLS/auth tests, timed RTO/RPO.",pg_dump/pg_restore or physical backup; restore automation,Independent restore evidence with measured RTO/RPO and checksum reconciliation.
INF-006,Infrastructure,P0,UNVERIFIED_BLOCKER,Немає production secret manager/KMS/HSM і rotation evidence,Local secrets — files; audit/backup keys in app runtime; rotation protocol не доведений.,Компрометація host/app відкриває keys і audit forgery/decryption.,"Vault/KMS/HSM, workload identity, envelope encryption, rotation/revocation drills.",HashiCorp Vault/cloud KMS/HSM,No long-lived static secrets in images/files; rotation without downtime tested.
INF-007,Infrastructure,P1,VERIFIED_DEFECT,API має загальний egress без destination allowlist,Compose egress network дає API зовнішній вихід; немає proxy/policy by hostname/IP/data class.,SSRF або compromised process exfiltrates corpus/secrets.,Default-deny egress gateway; allowlist OIDC/S3/anchor/embedding; DNS/TLS pinning where appropriate.,NetworkPolicy/eBPF/proxy; SSRF tests,Unexpected destinations unreachable; egress logs attributable.
INF-008,Infrastructure,P1,UNVERIFIED_BLOCKER,Resource limits не калібровані capacity plan,Compose CPU/memory/pids values є static; немає навантажувального provenance.,OOM/throttling або зайве резервування.,Load/capacity model by workload; autoscaling/admission budgets; saturation alerts.,k6/Locust; cAdvisor; pg metrics,Limits derived from measured envelope and documented headroom.
INF-009,Infrastructure,P1,VERIFIED_DEFECT,"OTel collector healthcheck перевіряє config, не serving path","Healthcheck запускає `otelcol validate`; не доводить, що receiver/exporter працює.",Telemetry silently unavailable while container healthy.,Use health_check extension endpoint + synthetic trace/metric canary.,OpenTelemetry Collector healthcheck; synthetic probe,Dropped exporter/receiver causes readiness/alert according to policy.
INF-010,Infrastructure,P1,VERIFIED_DEFECT,Local audit anchor не є незалежним trust domain,"Compose file anchor volume керується тим самим host/operator, що API/DB.",Host compromise може змінити ledger і anchor.,Remote append-only witness in separate account/org; asymmetric signatures/trusted timestamp.,Transparency log/Rekor-like service; HSM signing,Single host/admin compromise cannot rewrite accepted history.
INF-011,Infrastructure,P1,UNVERIFIED_BLOCKER,Немає deployment rollback/canary/schema compatibility proof,"CI build/package є, але нема staged rollout, backward-compatible migrations, rollback under live traffic.",Нова версія може зробити DB/clients незворотно несумісними.,"Expand-contract migrations, canary, automated rollback, compatibility tests.",Argo Rollouts/GitLab environments; contract tests,N-1/N compatibility and rollback drill PASS.
INF-012,Infrastructure,P1,UNVERIFIED_BLOCKER,Немає offsite/immutable backup schedule and retention execution,"Scripts/manifest є; scheduler, remote immutable target, retention/deletion monitoring не надані.",Ransomware/operator error знищує primary і backup.,"3-2-1 backups, object lock, isolated credentials, restore cadence.",Backup scheduler; WORM storage,Backup age/immutability monitored; restore sampled automatically.
SRE-001,Reliability & Operations,P0,UNVERIFIED_BLOCKER,Немає SLO/SLI/error-budget contract,"Немає визначених availability, latency, freshness, ingestion durability, answer quality SLO.",Неможливо обʼєктивно вирішити launch або regression.,"Define user journeys, SLIs, SLOs, error budget, alert policy.",Google SRE methods; Prometheus/OpenTelemetry,Approved SLO document and burn-rate alerts validated.
SRE-002,Reliability & Operations,P0,UNVERIFIED_BLOCKER,Немає on-call ownership та incident exercises,"Runbooks є, але немає roster, escalation, paging, game-day evidence, postmortems.",Інцидент не буде вчасно виявлений/локалізований.,"On-call model, severity matrix, paging, tabletop + technical game days.",PagerDuty/Opsgenie equivalent; incident tooling,Timed exercises meet detection/containment/recovery targets.
SRE-003,Reliability & Operations,P1,VERIFIED_DEFECT,Observability не має durable backend,"OTel collector config у local topology фактично debug-oriented; нема metrics/logs/traces storage, dashboards, retention.","Немає історичного аналізу, alerting і forensic evidence.","Deploy metrics/traces/logs backend, RED/USE dashboards, retention and access controls.",Prometheus/Grafana/Loki/Tempo або managed stack,Synthetic failures visible end-to-end and page correct owner.
SRE-004,Reliability & Operations,P1,UNVERIFIED_BLOCKER,Немає chaos/failure-injection matrix,Не доведені outages DB/S3/IdP/anchor/embedding/network/clock/disk-full.,Невідомі cascading failures і ambiguous transaction outcomes.,"Fault injection per dependency, partial failures, latency, stale cache, clock skew.",Toxiproxy/Chaos Mesh; pytest integration,Every dependency has defined degraded/fail-closed behavior and recovery evidence.
SRE-005,Reliability & Operations,P1,UNVERIFIED_BLOCKER,Немає production load/concurrency endurance test,"Local scale probe single query/SQLite; немає soak, ingestion+query mixed load, connection-pool saturation.","Race, leaks, queue collapse, p99 spikes зʼявляться лише в експлуатації.",Mixed workload load/soak/spike tests; saturation and backpressure validation.,k6/Locust; pgbench; profiling,Meet SLO under target and overload sheds load without leakage/corruption.
SRE-006,Reliability & Operations,P1,CONDITIONAL_RISK,Readiness має невизначену degraded-mode policy,Critical dependency failure може зробити instance unready; немає формальної read-only/lexical-only policy by risk class.,Зайва недоступність або небезпечний silent fallback.,Define dependency matrix: required/optional per environment/query risk; expose degraded state.,State machine; chaos tests,Each outage returns predeclared status; no silent semantic/policy downgrade.
SRE-007,Reliability & Operations,P1,UNVERIFIED_BLOCKER,Немає data/corpus release rollback drill,"Supersession/cache release logic тестується локально, але немає mass release/canary/rollback operational procedure.",Poisoned або хибний corpus release впливає на всіх.,"Immutable corpus releases, canary cohort, shadow eval, atomic rollback.",Release registry; feature flags,Rollback restores prior answers/index within defined RTO.
SUP-001,Supply Chain,P0,VERIFIED_DEFECT,"Container/CI images pinned tags, not immutable digests","CI/Compose/Dockerfile use version tags (python, pgvector, Trivy, Syft, MinIO, BuildKit).",Tag re-publish changes build без source change.,Resolve and pin digest; automated verified update PRs; policy enforcement.,Renovate/Dependabot; cosign; registry policy,All release inputs are digest-pinned and provenance records exact digests.
SUP-002,Supply Chain,P0,VERIFIED_DEFECT,Python lock files не містять hashes,"pip install використовує versions і --no-deps, але не --require-hashes.",Compromised index/artifact може підмінити wheel/sdist.,Hash-pin all artifacts; private mirror; binary-only policy; provenance verification.,pip-tools/uv lock; --require-hashes; artifact registry,Offline/reproducible install succeeds only for approved hashes.
SUP-003,Supply Chain,P0,UNVERIFIED_BLOCKER,Немає signed build provenance і artifact signing,"Є SHA-256/manifest, але нема hosted-builder attestation, cosign signature, transparency log.","Неможливо довести, хто/як побудував production image.","Generate SLSA provenance, sign images/SBOM, verify before deploy.",GitLab OIDC + cosign/in-toto; SLSA verifier,Deployment admission rejects unsigned/unexpected provenance.
SUP-004,Supply Chain,P1,VERIFIED_DEFECT,BuildKit запускається з no-process-sandbox,CI sets BUILDKITD_FLAGS=--oci-worker-no-process-sandbox.,Build steps мають слабшу isolation boundary.,Use hardened hosted builder/runner or isolated VM; remove flag where feasible.,GitLab isolated runner; rootless BuildKit with sandbox,Malicious build step cannot inspect other jobs/host secrets.
SUP-005,Supply Chain,P1,UNVERIFIED_BLOCKER,Security scanners не були виконані в локальному аудиті,"Ruff/mypy/pip-audit/Trivy/Gitleaks jobs визначені, але tool results не надані з real GitLab run.",Current dependencies/config may contain known issues.,Run pipeline in isolated runner; archive signed reports; fix all policy violations.,GitLab CI; Trivy; pip-audit; Gitleaks; Ruff; mypy,"Signed pipeline evidence, zero unaccepted high/critical findings."
SUP-006,Supply Chain,P1,VERIFIED_DEFECT,Static security analysis coverage incomplete,"CI має Ruff/Trivy/Gitleaks/pip-audit, але нема Semgrep/Bandit/CodeQL-equivalent, DAST, parser fuzzing.",Logic/security flaws не представлені dependency/config scans.,"SAST rules, API DAST, fuzzing, IaC policies, secret history scan.",Semgrep/Bandit; Schemathesis/ZAP; Atheris,Security test matrix maps every threat class to executable gate.
